,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,foreign_worker,class
379,<0,18.0,all paid,radio/tv,1940.0,<100,<1,3.0,co applicant,no known property,36.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
380,no checking,36.0,existing paid,radio/tv,3595.0,<100,>=7,4.0,none,car,28.0,none,own,1.0,skilled,1.0,yes,good
381,<0,9.0,existing paid,new car,1422.0,<100,<1,3.0,none,no known property,27.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,bad
382,no checking,30.0,critical/other existing credit,radio/tv,6742.0,no known savings,4<=X<7,2.0,none,life insurance,36.0,none,own,2.0,skilled,1.0,yes,good
383,no checking,24.0,existing paid,used car,7814.0,<100,4<=X<7,3.0,none,car,38.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
384,no checking,24.0,existing paid,used car,9277.0,no known savings,1<=X<4,2.0,none,no known property,48.0,none,for free,1.0,skilled,1.0,yes,good
385,0<=X<200,30.0,critical/other existing credit,new car,2181.0,no known savings,>=7,4.0,none,real estate,36.0,none,own,2.0,skilled,1.0,yes,good
386,no checking,18.0,critical/other existing credit,radio/tv,1098.0,<100,unemployed,4.0,none,car,65.0,none,own,2.0,unemp/unskilled non res,1.0,yes,good
387,0<=X<200,24.0,existing paid,furniture/equipment,4057.0,<100,4<=X<7,3.0,none,car,43.0,none,own,1.0,skilled,1.0,yes,bad
388,<0,12.0,existing paid,education,795.0,<100,<1,4.0,none,life insurance,53.0,none,own,1.0,skilled,1.0,yes,bad
389,0<=X<200,24.0,critical/other existing credit,business,2825.0,no known savings,0,4.0,none,no known property,34.0,none,own,2.0,skilled,2.0,yes,good
390,0<=X<200,48.0,existing paid,business,15672.0,<100,0,2.0,none,car,23.0,none,own,1.0,skilled,1.0,yes,bad
391,no checking,36.0,critical/other existing credit,new car,6614.0,<100,>=7,4.0,none,car,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,good
392,no checking,28.0,all paid,used car,7824.0,no known savings,<1,3.0,guarantor,real estate,40.0,bank,rent,2.0,skilled,2.0,yes,good
393,<0,27.0,critical/other existing credit,business,2442.0,<100,>=7,4.0,none,car,43.0,stores,own,4.0,high qualif/self emp/mgmt,2.0,yes,good
394,no checking,15.0,critical/other existing credit,radio/tv,1829.0,<100,>=7,4.0,none,car,46.0,none,own,2.0,skilled,1.0,yes,good
395,<0,12.0,critical/other existing credit,new car,2171.0,<100,1<=X<4,4.0,none,life insurance,38.0,bank,own,2.0,unskilled resident,1.0,no,good
396,0<=X<200,36.0,critical/other existing credit,used car,5800.0,<100,1<=X<4,3.0,none,car,34.0,none,own,2.0,skilled,1.0,yes,good
397,no checking,18.0,critical/other existing credit,radio/tv,1169.0,no known savings,1<=X<4,4.0,none,life insurance,29.0,none,own,2.0,skilled,1.0,yes,good
398,no checking,36.0,delayed previously,used car,8947.0,no known savings,4<=X<7,3.0,none,car,31.0,stores,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
399,<0,21.0,existing paid,radio/tv,2606.0,<100,<1,4.0,none,life insurance,28.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
400,no checking,12.0,critical/other existing credit,furniture/equipment,1592.0,>=1000,4<=X<7,3.0,none,life insurance,35.0,none,own,1.0,skilled,1.0,no,good
401,no checking,15.0,existing paid,furniture/equipment,2186.0,no known savings,4<=X<7,1.0,none,real estate,33.0,bank,rent,1.0,unskilled resident,1.0,yes,good
402,<0,18.0,existing paid,furniture/equipment,4153.0,<100,1<=X<4,2.0,co applicant,car,42.0,none,own,1.0,skilled,1.0,yes,bad
403,<0,16.0,critical/other existing credit,new car,2625.0,<100,>=7,2.0,guarantor,life insurance,43.0,bank,rent,1.0,skilled,1.0,yes,bad
404,no checking,20.0,critical/other existing credit,new car,3485.0,no known savings,<1,2.0,none,real estate,44.0,none,own,2.0,skilled,1.0,yes,good
405,no checking,36.0,critical/other existing credit,used car,10477.0,no known savings,>=7,2.0,none,no known property,42.0,none,for free,2.0,skilled,1.0,yes,good
406,no checking,15.0,existing paid,radio/tv,1386.0,no known savings,1<=X<4,4.0,none,real estate,40.0,none,rent,1.0,skilled,1.0,yes,good
407,no checking,24.0,existing paid,radio/tv,1278.0,<100,>=7,4.0,none,real estate,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
408,<0,12.0,existing paid,radio/tv,1107.0,<100,1<=X<4,2.0,none,real estate,20.0,none,rent,1.0,high qualif/self emp/mgmt,2.0,yes,good
409,<0,21.0,existing paid,new car,3763.0,no known savings,4<=X<7,2.0,co applicant,real estate,24.0,none,own,1.0,unskilled resident,1.0,no,good
410,0<=X<200,36.0,existing paid,education,3711.0,no known savings,1<=X<4,2.0,none,car,27.0,none,own,1.0,skilled,1.0,yes,good
411,no checking,15.0,delayed previously,used car,3594.0,<100,0,1.0,none,life insurance,46.0,none,own,2.0,unskilled resident,1.0,yes,good
412,0<=X<200,9.0,existing paid,new car,3195.0,no known savings,1<=X<4,1.0,none,real estate,33.0,none,own,1.0,unskilled resident,1.0,yes,good
413,no checking,36.0,delayed previously,radio/tv,4454.0,<100,1<=X<4,4.0,none,real estate,34.0,none,own,2.0,skilled,1.0,yes,good
414,0<=X<200,24.0,critical/other existing credit,furniture/equipment,4736.0,<100,<1,2.0,none,car,25.0,bank,own,1.0,unskilled resident,1.0,yes,bad
415,0<=X<200,30.0,existing paid,radio/tv,2991.0,no known savings,>=7,2.0,none,car,25.0,none,own,1.0,skilled,1.0,yes,good
416,no checking,11.0,existing paid,business,2142.0,>=1000,0,1.0,none,real estate,28.0,none,own,1.0,skilled,1.0,yes,good
417,<0,24.0,all paid,business,3161.0,<100,1<=X<4,4.0,none,life insurance,31.0,none,rent,1.0,skilled,1.0,yes,bad
418,0<=X<200,48.0,no credits/all paid,other,18424.0,<100,1<=X<4,1.0,none,life insurance,32.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,no,bad
419,no checking,10.0,existing paid,used car,2848.0,100<=X<500,1<=X<4,1.0,co applicant,real estate,32.0,none,own,1.0,skilled,2.0,yes,good
420,<0,6.0,existing paid,new car,14896.0,<100,>=7,1.0,none,no known property,68.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,bad
421,<0,24.0,existing paid,furniture/equipment,2359.0,100<=X<500,unemployed,1.0,none,life insurance,33.0,none,own,1.0,skilled,1.0,yes,bad
422,<0,24.0,existing paid,furniture/equipment,3345.0,<100,>=7,4.0,none,life insurance,39.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,bad
423,no checking,18.0,critical/other existing credit,furniture/equipment,1817.0,<100,0,4.0,none,no known property,28.0,none,own,2.0,skilled,1.0,yes,good
424,no checking,48.0,delayed previously,radio/tv,12749.0,500<=X<1000,4<=X<7,4.0,none,car,37.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
425,<0,9.0,existing paid,radio/tv,1366.0,<100,<1,3.0,none,life insurance,22.0,none,rent,1.0,skilled,1.0,yes,bad
426,0<=X<200,12.0,existing paid,new car,2002.0,<100,4<=X<7,3.0,none,life insurance,30.0,none,rent,1.0,skilled,2.0,yes,good
427,<0,24.0,all paid,furniture/equipment,6872.0,<100,<1,2.0,none,life insurance,55.0,bank,own,1.0,skilled,1.0,yes,bad
428,<0,12.0,all paid,new car,697.0,<100,<1,4.0,none,car,46.0,bank,own,2.0,skilled,1.0,yes,bad
429,<0,18.0,critical/other existing credit,furniture/equipment,1049.0,<100,<1,4.0,none,life insurance,21.0,none,rent,1.0,skilled,1.0,yes,good
430,<0,48.0,existing paid,used car,10297.0,<100,4<=X<7,4.0,none,no known property,39.0,stores,for free,3.0,skilled,2.0,yes,bad
431,no checking,30.0,existing paid,radio/tv,1867.0,no known savings,>=7,4.0,none,car,58.0,none,own,1.0,skilled,1.0,yes,good
432,<0,12.0,delayed previously,new car,1344.0,<100,1<=X<4,4.0,none,real estate,43.0,none,own,2.0,unskilled resident,2.0,yes,good
433,<0,24.0,existing paid,furniture/equipment,1747.0,<100,<1,4.0,co applicant,life insurance,24.0,none,own,1.0,unskilled resident,1.0,no,good
434,0<=X<200,9.0,existing paid,radio/tv,1670.0,<100,<1,4.0,none,car,22.0,none,own,1.0,skilled,1.0,yes,bad
435,no checking,9.0,critical/other existing credit,new car,1224.0,<100,1<=X<4,3.0,none,real estate,30.0,none,own,2.0,skilled,1.0,yes,good
436,no checking,12.0,critical/other existing credit,radio/tv,522.0,500<=X<1000,>=7,4.0,none,life insurance,42.0,none,own,2.0,skilled,2.0,yes,good
437,<0,12.0,existing paid,radio/tv,1498.0,<100,1<=X<4,4.0,none,car,23.0,bank,own,1.0,skilled,1.0,yes,good
438,0<=X<200,30.0,delayed previously,radio/tv,1919.0,100<=X<500,<1,4.0,none,no known property,30.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
439,>=200,9.0,existing paid,radio/tv,745.0,<100,1<=X<4,3.0,none,real estate,28.0,none,own,1.0,unskilled resident,1.0,yes,bad
440,0<=X<200,6.0,existing paid,radio/tv,2063.0,<100,<1,4.0,none,car,30.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
441,0<=X<200,60.0,existing paid,education,6288.0,<100,1<=X<4,4.0,none,no known property,42.0,none,for free,1.0,skilled,1.0,yes,bad
442,no checking,24.0,critical/other existing credit,used car,6842.0,no known savings,1<=X<4,2.0,none,life insurance,46.0,none,own,2.0,high qualif/self emp/mgmt,2.0,yes,good
443,no checking,12.0,existing paid,new car,3527.0,no known savings,<1,2.0,none,life insurance,45.0,none,own,1.0,high qualif/self emp/mgmt,2.0,yes,good
444,no checking,10.0,existing paid,new car,1546.0,<100,1<=X<4,3.0,none,real estate,31.0,none,own,1.0,unskilled resident,2.0,no,good
445,no checking,24.0,existing paid,furniture/equipment,929.0,no known savings,4<=X<7,4.0,none,car,31.0,stores,own,1.0,skilled,1.0,yes,good
446,no checking,4.0,critical/other existing credit,new car,1455.0,<100,4<=X<7,2.0,none,real estate,42.0,none,own,3.0,unskilled resident,2.0,yes,good
447,<0,15.0,existing paid,furniture/equipment,1845.0,<100,<1,4.0,guarantor,life insurance,46.0,none,rent,1.0,skilled,1.0,yes,good
448,0<=X<200,48.0,no credits/all paid,new car,8358.0,500<=X<1000,<1,1.0,none,car,30.0,none,own,2.0,skilled,1.0,yes,good
449,<0,24.0,all paid,furniture/equipment,3349.0,500<=X<1000,<1,4.0,none,no known property,30.0,none,for free,1.0,skilled,2.0,yes,bad
450,no checking,12.0,existing paid,new car,2859.0,no known savings,unemployed,4.0,none,no known property,38.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
451,no checking,18.0,existing paid,furniture/equipment,1533.0,<100,<1,4.0,co applicant,life insurance,43.0,none,own,1.0,unskilled resident,2.0,yes,bad
452,no checking,24.0,existing paid,radio/tv,3621.0,100<=X<500,>=7,2.0,none,car,31.0,none,own,2.0,skilled,1.0,yes,bad
453,0<=X<200,18.0,critical/other existing credit,business,3590.0,<100,unemployed,3.0,none,car,40.0,none,own,3.0,unemp/unskilled non res,2.0,yes,good
454,<0,36.0,delayed previously,business,2145.0,<100,4<=X<7,2.0,none,car,24.0,none,own,2.0,skilled,1.0,yes,bad
455,0<=X<200,24.0,existing paid,used car,4113.0,500<=X<1000,<1,3.0,none,car,28.0,none,rent,1.0,skilled,1.0,yes,bad
456,no checking,36.0,existing paid,furniture/equipment,10974.0,<100,unemployed,4.0,none,car,26.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,bad
457,<0,12.0,existing paid,new car,1893.0,<100,1<=X<4,4.0,guarantor,life insurance,29.0,none,own,1.0,skilled,1.0,yes,good
458,<0,24.0,critical/other existing credit,radio/tv,1231.0,>=1000,>=7,4.0,none,life insurance,57.0,none,rent,2.0,high qualif/self emp/mgmt,1.0,yes,good
459,>=200,30.0,critical/other existing credit,radio/tv,3656.0,no known savings,>=7,4.0,none,life insurance,49.0,stores,own,2.0,unskilled resident,1.0,yes,good
460,0<=X<200,9.0,critical/other existing credit,radio/tv,1154.0,<100,>=7,2.0,none,real estate,37.0,none,own,3.0,unskilled resident,1.0,yes,good
461,<0,28.0,existing paid,new car,4006.0,<100,1<=X<4,3.0,none,car,45.0,none,own,1.0,unskilled resident,1.0,yes,bad
462,0<=X<200,24.0,existing paid,furniture/equipment,3069.0,100<=X<500,>=7,4.0,none,no known property,30.0,none,for free,1.0,skilled,1.0,yes,good
463,no checking,6.0,critical/other existing credit,radio/tv,1740.0,<100,>=7,2.0,none,real estate,30.0,none,rent,2.0,skilled,1.0,yes,good
464,0<=X<200,21.0,delayed previously,new car,2353.0,<100,1<=X<4,1.0,none,life insurance,47.0,none,own,2.0,skilled,1.0,yes,good
465,no checking,15.0,existing paid,new car,3556.0,no known savings,1<=X<4,3.0,none,no known property,29.0,none,own,1.0,skilled,1.0,yes,good
466,no checking,24.0,existing paid,radio/tv,2397.0,500<=X<1000,>=7,3.0,none,car,35.0,bank,own,2.0,skilled,1.0,yes,bad
467,0<=X<200,6.0,existing paid,repairs,454.0,<100,<1,3.0,none,life insurance,22.0,none,own,1.0,unskilled resident,1.0,yes,good
468,0<=X<200,30.0,existing paid,radio/tv,1715.0,no known savings,1<=X<4,4.0,none,car,26.0,none,own,1.0,skilled,1.0,yes,good
469,0<=X<200,27.0,critical/other existing credit,radio/tv,2520.0,500<=X<1000,1<=X<4,4.0,none,life insurance,23.0,none,own,2.0,unskilled resident,1.0,yes,bad
470,no checking,15.0,existing paid,radio/tv,3568.0,<100,>=7,4.0,none,car,54.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,good
471,no checking,42.0,existing paid,radio/tv,7166.0,no known savings,4<=X<7,2.0,none,life insurance,29.0,none,rent,1.0,skilled,1.0,yes,good
472,<0,11.0,critical/other existing credit,new car,3939.0,<100,1<=X<4,1.0,none,real estate,40.0,none,own,2.0,unskilled resident,2.0,yes,good
473,0<=X<200,15.0,existing paid,repairs,1514.0,100<=X<500,1<=X<4,4.0,guarantor,real estate,22.0,none,own,1.0,skilled,1.0,yes,good
474,no checking,24.0,existing paid,new car,7393.0,<100,1<=X<4,1.0,none,life insurance,43.0,none,own,1.0,unskilled resident,2.0,yes,good
475,<0,24.0,all paid,new car,1193.0,<100,unemployed,1.0,co applicant,no known property,29.0,none,rent,2.0,unemp/unskilled non res,1.0,yes,bad
476,<0,60.0,existing paid,business,7297.0,<100,>=7,4.0,co applicant,no known property,36.0,none,rent,1.0,skilled,1.0,yes,bad
477,no checking,30.0,critical/other existing credit,radio/tv,2831.0,<100,1<=X<4,4.0,none,car,33.0,none,own,1.0,skilled,1.0,yes,good
478,>=200,24.0,existing paid,radio/tv,1258.0,500<=X<1000,1<=X<4,3.0,none,car,57.0,none,own,1.0,unskilled resident,1.0,yes,good
479,0<=X<200,6.0,existing paid,radio/tv,753.0,<100,1<=X<4,2.0,guarantor,real estate,64.0,none,own,1.0,skilled,1.0,yes,good
480,0<=X<200,18.0,delayed previously,business,2427.0,no known savings,>=7,4.0,none,life insurance,42.0,none,own,2.0,skilled,1.0,yes,good
481,no checking,24.0,delayed previously,new car,2538.0,<100,>=7,4.0,none,car,47.0,none,own,2.0,unskilled resident,2.0,yes,bad
482,0<=X<200,15.0,all paid,new car,1264.0,100<=X<500,1<=X<4,2.0,none,life insurance,25.0,none,rent,1.0,skilled,1.0,yes,bad
483,0<=X<200,30.0,critical/other existing credit,furniture/equipment,8386.0,<100,4<=X<7,2.0,none,life insurance,49.0,none,own,1.0,skilled,1.0,yes,bad
484,no checking,48.0,existing paid,business,4844.0,<100,unemployed,3.0,none,car,33.0,bank,rent,1.0,high qualif/self emp/mgmt,1.0,yes,bad
485,>=200,21.0,existing paid,new car,2923.0,100<=X<500,1<=X<4,1.0,none,car,28.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
486,<0,36.0,existing paid,used car,8229.0,<100,1<=X<4,2.0,none,life insurance,26.0,none,own,1.0,skilled,2.0,yes,bad
487,no checking,24.0,critical/other existing credit,furniture/equipment,2028.0,<100,4<=X<7,2.0,none,life insurance,30.0,none,own,2.0,unskilled resident,1.0,yes,good
488,<0,15.0,critical/other existing credit,furniture/equipment,1433.0,<100,0,4.0,none,life insurance,25.0,none,rent,2.0,skilled,1.0,yes,good
489,>=200,42.0,no credits/all paid,business,6289.0,<100,<1,2.0,none,life insurance,33.0,none,own,2.0,skilled,1.0,yes,good
490,no checking,13.0,existing paid,radio/tv,1409.0,100<=X<500,unemployed,2.0,none,real estate,64.0,none,own,1.0,skilled,1.0,yes,good
491,<0,24.0,existing paid,used car,6579.0,<100,unemployed,4.0,none,no known property,29.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,good
492,0<=X<200,24.0,critical/other existing credit,radio/tv,1743.0,<100,>=7,4.0,none,life insurance,48.0,none,own,2.0,unskilled resident,1.0,yes,good
493,no checking,12.0,critical/other existing credit,education,3565.0,no known savings,<1,2.0,none,life insurance,37.0,none,own,2.0,unskilled resident,2.0,yes,good
494,no checking,15.0,all paid,radio/tv,1569.0,100<=X<500,>=7,4.0,none,car,34.0,bank,own,1.0,unskilled resident,2.0,yes,good
495,<0,18.0,existing paid,radio/tv,1936.0,no known savings,4<=X<7,2.0,none,car,23.0,none,rent,2.0,unskilled resident,1.0,yes,good
496,<0,36.0,existing paid,furniture/equipment,3959.0,<100,unemployed,4.0,none,life insurance,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
497,no checking,12.0,existing paid,new car,2390.0,no known savings,>=7,4.0,none,car,50.0,none,own,1.0,skilled,1.0,yes,good
498,no checking,12.0,existing paid,furniture/equipment,1736.0,<100,4<=X<7,3.0,none,real estate,31.0,none,own,1.0,unskilled resident,1.0,yes,good
499,<0,30.0,existing paid,used car,3857.0,<100,1<=X<4,4.0,none,life insurance,40.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,good
500,no checking,12.0,existing paid,radio/tv,804.0,<100,>=7,4.0,none,car,38.0,none,own,1.0,skilled,1.0,yes,good
501,<0,45.0,existing paid,radio/tv,1845.0,<100,1<=X<4,4.0,none,no known property,23.0,none,for free,1.0,skilled,1.0,yes,bad
502,0<=X<200,45.0,critical/other existing credit,used car,4576.0,100<=X<500,0,3.0,none,car,27.0,none,own,1.0,skilled,1.0,yes,good
